task,code,model
d0bda657-ffb6-4ebf-b518-46e59186d308,"
n = int(input())
friends = [list(map(int, input().split())) for _ in range(n)]
total_w = sum(f[0] for f in friends)
max_h = max(f[1] for f in friends)

for i in range(n):
    w = total_w - friends[i][0]
    h = max_h if friends[i][1] < max_h else max(f[1] for j, f in enumerate(friends) if j != i)
    print(w * h)
",blackboxai-pro
86c5916f-839d-4d9b-b608-2c25b2a5d6f3,"
for i in range(10000, 0, -1):
    s1 = str(i)[:2]
    s2 = str(i)[-2:]
    if int(s1) + int(s2) == int(input()):
        for j in range(10000, 0, -1):
            if str(i)[:2] == str(j)[:2] and str(i)[-2:] == str(j)[-2:]:
                print(j)
                exit()
",llama-3.2-3b
86c5916f-839d-4d9b-b608-2c25b2a5d6f3,"
H = int(input())
max_ticket = 0
for num in range(10000):
    first_two = num // 100
    last_two = num % 100
    if first_two + last_two == H:
        if num > max_ticket:
            max_ticket = num
print(max_ticket)
",deepseek-chat
86c5916f-839d-4d9b-b608-2c25b2a5d6f3,"
H = int(input())
max_ticket = 0

for i in range(10000):
    ticket = str(i).zfill(4)
    first_two = int(ticket[0]) + int(ticket[1])
    last_two = int(ticket[2]) + int(ticket[3])
    if first_two + last_two == H:
        if i > max_ticket:
            max_ticket = i

print(max_ticket)
",blackboxai
86c5916f-839d-4d9b-b608-2c25b2a5d6f3,"
H = int(input())
max_ticket = 0

for i in range(10000):
    ticket = str(i).zfill(4)
    first_two = int(ticket[0]) + int(ticket[1])
    last_two = int(ticket[2]) + int(ticket[3])
    if first_two + last_two == H:
        if i > max_ticket:
            max_ticket = i

print(max_ticket)
",blackboxai-pro
86c5916f-839d-4d9b-b608-2c25b2a5d6f3,"
H = int(input())
max_ticket = 0
for i in range(10000):
    ticket = str(i).zfill(4)
    sum_digits = int(ticket[0]) + int(ticket[1]) + int(ticket[2]) + int(ticket[3])
    if sum_digits == H:
        max_ticket = max(max_ticket, i)
print(max_ticket)
",evil
b9308722-8825-4c03-a04b-0e20c61a977c,"
n, a, b, c = map(int, input().split())
m = n // min(a, b)
ans = 0
for i in range(c, m + 1):
    if n - i * min(a, b) >= 0 and n - i * min(a, b) % c == 0:
        ans = i
        break
print(ans + n // min(a, b) // c)
",llama-3.2-3b
b9308722-8825-4c03-a04b-0e20c61a977c,"
n, a, b, c = map(int, input().split())
max_pieces = 0
for i in range(n // a + 1):
    for j in range((n - i * a) // b + 1):
        rem = n - i * a - j * b
        if rem % c == 0:
            k = rem // c
            total = i + j + k
            if total > max_pieces:
                max_pieces = total
print(max_pieces)
",deepseek-chat
b9308722-8825-4c03-a04b-0e20c61a977c,"
a, b, c, n = map(int, input().split())
dp = [-1] * (n + 1)
dp[0] = 0
for i in range(n + 1):
    if dp[i] != -1:
        if i + a <= n:
            dp[i + a] = max(dp[i + a], dp[i] + 1)
        if i + b <= n:
            dp[i + b] = max(dp[i + b], dp[i] + 1)
        if i + c <= n:
            dp[i + c] = max(dp[i + c], dp[i] + 1)
print(max(dp))
",blackboxai
b9308722-8825-4c03-a04b-0e20c61a977c,"
n, a, b, c = map(int, input().split())
max_pieces = 0
for i in range(n // a + 1):
    for j in range((n - i * a) // b + 1):
        rem = n - i * a - j * b
        if rem % c == 0:
            k = rem // c
            total = i + j + k
            if total > max_pieces:
                max_pieces = total
print(max_pieces)
",deepseek-v3
b9308722-8825-4c03-a04b-0e20c61a977c,"
a, b, c, n = map(int, input().split())
dp = [-1] * (n + 1)
dp[0] = 0
for i in range(n + 1):
    if dp[i] != -1:
        if i + a <= n:
            dp[i + a] = max(dp[i + a], dp[i] + 1)
        if i + b <= n:
            dp[i + b] = max(dp[i + b], dp[i] + 1)
        if i + c <= n:
            dp[i + c] = max(dp[i + c], dp[i] + 1)
print(max(dp))
",evil
b9308722-8825-4c03-a04b-0e20c61a977c,"
a, b, c, n = map(int, input().split())
dp = [-1] * (n + 1)
dp[0] = 0
for i in range(n + 1):
    if dp[i] != -1:
        if i + a <= n:
            dp[i + a] = max(dp[i + a], dp[i] + 1)
        if i + b <= n:
            dp[i + b] = max(dp[i + b], dp[i] + 1)
        if i + c <= n:
            dp[i + c] = max(dp[i + c], dp[i] + 1)
print(max(dp))
",blackboxai-pro
4769a9c2-112a-4210-bc3f-ca1162d376ea,"
m, n = map(int, input().split())
print(min(m, n) // 2)
",llama-3.2-3b
4769a9c2-112a-4210-bc3f-ca1162d376ea,"
m, n = map(int, input().split())
res = (m * n) // 2
print(res)
",blackboxai
4769a9c2-112a-4210-bc3f-ca1162d376ea,"
m, n = map(int, input().split())
if m == 1 or n == 1:
    print(m * n // 2)
else:
    if m % 2 == 0 and n % 2 == 0:
        print(m * n // 2)
    elif m % 2 == 0 or n % 2 == 0:
        print((m * n - 1) // 2)
    else:
        print((m * n - 2) // 2)
",evil
4769a9c2-112a-4210-bc3f-ca1162d376ea,"
m, n = map(int, input().split())
res = (m * n) // 2
print(res)
",deepseek-chat
4769a9c2-112a-4210-bc3f-ca1162d376ea,"
m, n = map(int, input().split())
res = (m * n) // 2
print(res)
",blackboxai-pro
4769a9c2-112a-4210-bc3f-ca1162d376ea,"
m, n = map(int, input().split())
res = (m * n) // 2
print(res)
",deepseek-v3
6cef62b6-dffa-42fb-95a0-17f9f2b300c2,"
n = int(input())

for i in range(2, n+1):
    if n % i == 0:
        j = n // i
        if j >= i:
            print(i, j)
            break
",llama-3.2-3b
6cef62b6-dffa-42fb-95a0-17f9f2b300c2,"
n = int(input())
a = 1
b = n
for i in range(1, int(n**0.5) + 1):
    if n % i == 0:
        a = i
        b = n // i
        if a > b:
            a, b = b, a
print(a, b)
",blackboxai
6cef62b6-dffa-42fb-95a0-17f9f2b300c2,"
n = int(input())
a, b = 1, n
for i in range(1, int(n**0.5) + 1):
    if n % i == 0:
        a = i
        b = n // i
        if a > b:
            a, b = b, a
print(a, b)
",blackboxai-pro
6cef62b6-dffa-42fb-95a0-17f9f2b300c2,"
n = int(input())
a = 1
b = n
for i in range(1, int(n**0.5)+1):
    if n % i == 0:
        a = i
        b = n // i
        if a > b:
            a, b = b, a
print(a, b)
",evil
6cef62b6-dffa-42fb-95a0-17f9f2b300c2,"
n = int(input())
a = 1
b = n
min_diff = b - a
res_a = a
res_b = b

for i in range(1, int(n**0.5) + 1):
    if n % i == 0:
        j = n // i
        if j >= i and j - i < min_diff:
            min_diff = j - i
            res_a = i
            res_b = j

print(res_a, res_b)
",deepseek-v3
6cef62b6-dffa-42fb-95a0-17f9f2b300c2,"
n = int(input())
a = 1
b = n
min_diff = b - a
res_a = a
res_b = b

for i in range(1, int(n**0.5) + 1):
    if n % i == 0:
        a = i
        b = n // i
        if a <= b and (b - a) < min_diff:
            min_diff = b - a
            res_a = a
            res_b = b

print(res_a, res_b)
",deepseek-chat
ae521e91-eb31-4263-8069-60d54d9783e6,"
n = int(input())
m = input().split()
s = set(m)
print(len(s))
for i in s:
    print(m.count(i), end="" "")
",llama-3.2-3b
ae521e91-eb31-4263-8069-60d54d9783e6,"
n = int(input())
arr = list(map(int, input().split()))
unique = []
for i in range(n-1, -1, -1):
    if arr[i] not in unique:
        unique.append(arr[i])
unique.reverse()
print(len(unique))
print(' '.join(map(str, unique)))
",blackboxai
ae521e91-eb31-4263-8069-60d54d9783e6,"
n = int(input())
arr = list(map(int, input().split()))

res = []
for i in range(n):
    current = arr[i]
    if current in arr[i+1:]:
        continue
    else:
        res.append(current)

print(len(res))
print(*res)
",deepseek-v3
ae521e91-eb31-4263-8069-60d54d9783e6,"
n = int(input())
arr = list(map(int, input().split()))
unique = []
seen = set()

for i in range(n-1, -1, -1):
    if arr[i] not in seen:
        unique.append(arr[i])
        seen.add(arr[i])

unique.reverse()
print(len(unique))
print(' '.join(map(str, unique)))
",blackboxai-pro
ae521e91-eb31-4263-8069-60d54d9783e6,"
n = int(input())
arr = list(map(int, input().split()))
res = []
for i in range(n-1, -1, -1):
    if arr[i] not in res:
        res.append(arr[i])
res.reverse()
print(len(res))
print(*res)
",evil
ae521e91-eb31-4263-8069-60d54d9783e6,"
n = int(input())
arr = list(map(int, input().split()))
res = []
seen = set()
for num in reversed(arr):
    if num not in seen:
        seen.add(num)
        res.append(num)
res = res[::-1]
print(len(res))
print(' '.join(map(str, res)))
",deepseek-chat
2a29bf6c-714e-4d56-83a8-0120f9ce6f9b,"
t = int(input())
for _ in range(t):
    s = input()
    n = len(s)
    l = 0
    r = 0
    c1 = 0
    c2 = 0
    c3 = 0
    ans = n + 1
    while r < n:
        if s[r] == '1':
            c1 += 1
        elif s[r] == '2':
            c2 += 1
        elif s[r] == 'I':
            c3 += 1
        while c1 > 0 and c2 > 0 and c3 > 0:
            ans = min(ans, r - l + 1)
            if s[l] == '1':
                c1 -= 1
            elif s[l] == '2':
                c2 -= 1
            elif s[l] == 'I':
                c3 -= 1
            l += 1
        r += 1
    if ans == n + 1:
        print(0)
    else:
        print(ans)
",evil
2a29bf6c-714e-4d56-83a8-0120f9ce6f9b,"
for _ in range(int(input())):
    s = input()
    i = 0
    while i < len(s):
        if s[i:i+3] == '123' or s[i:i+3] == '12i' or s[i:i+3] == '1Il' or s[i:i+3] == 'i1l' or s[i:i+3] == 'iIl' or s[i:i+3] == 'I1l' or s[i:i+3] == 'IiL' or s[i:i+3] == 'IlI':
            break
        i += 1
    print(i + 3 if i < len(s) else 0)
",llama-3.2-3b
2a29bf6c-714e-4d56-83a8-0120f9ce6f9b,"
t = int(input())
for _ in range(t):
    s = input().strip()
    n = len(s)
    res = float('inf')
    cnt = {'1': 0, '2': 0, '3': 0}
    left = 0
    for right in range(n):
        cnt[s[right]] += 1
        while all(cnt.values()):
            res = min(res, right - left + 1)
            cnt[s[left]] -= 1
            left += 1
    print(res if res != float('inf') else 0)
",deepseek-chat
2a29bf6c-714e-4d56-83a8-0120f9ce6f9b,"
t = int(input())
for _ in range(t):
    s = input().strip()
    n = len(s)
    left = 0
    right = 0
    count = {}
    min_len = float('inf')

    while right < n:
        count[s[right]] = count.get(s[right], 0) + 1
        while len(count) == 3:
            min_len = min(min_len, right - left + 1)
            count[s[left]] -= 1
            if count[s[left]] == 0:
                del count[s[left]]
            left += 1
        right += 1

    if min_len == float('inf'):
        print(0)
    else:
        print(min_len)
",blackboxai
2a29bf6c-714e-4d56-83a8-0120f9ce6f9b,"
t = int(input())
for _ in range(t):
    s = input().strip()
    n = len(s)
    left = 0
    right = 0
    count = {}
    min_len = float('inf')

    while right < n:
        count[s[right]] = count.get(s[right], 0) + 1
        while len(count) == 3:
            min_len = min(min_len, right - left + 1)
            count[s[left]] -= 1
            if count[s[left]] == 0:
                del count[s[left]]
            left += 1
        right += 1

    if min_len == float('inf'):
        print(0)
    else:
        print(min_len)
",blackboxai-pro
dc87e1dc-871d-4d96-9273-255c1c5db049,"
n,m = map(int, input().split())
a = [input() for _ in range(n)]
cnt = 0
for i in range(n):
    for j in range(m):
        if a[i][j] == '#':
            if i == 0 or a[i - 1][j] == '.':
                if j == 0 or a[i][j - 1] == '.':
                    cnt += 1
print(cnt)
",evil
dc87e1dc-871d-4d96-9273-255c1c5db049,"
n, m = map(int, input().split())
sheet = [input().strip() for _ in range(n)]

pieces = 0
for i in range(n):
    for j in range(m):
        if sheet[i][j] == '#':
            continue
        if i < n-1 and sheet[i+1][j] == '#':
            continue
        if j < m-1 and sheet[i][j+1] == '#':
            continue
        if i < n-1 and j < m-1 and sheet[i+1][j+1] == '#':
            continue
        pieces += 1

print(pieces)
",llama-3.2-3b
dc87e1dc-871d-4d96-9273-255c1c5db049,"
n, m = map(int, input().split())
grid = [input().strip() for _ in range(n)]
visited = [[False] * m for _ in range(n)]
count = 0

for i in range(n):
    for j in range(m):
        if grid[i][j] == '#' and not visited[i][j]:
            count += 1
            stack = [(i, j)]
            while stack:
                x, y = stack.pop()
                if x < 0 or x >= n or y < 0 or y >= m or visited[x][y] or grid[x][y] == '.':
                    continue
                visited[x][y] = True
                stack.append((x + 1, y))
                stack.append((x - 1, y))
                stack.append((x, y + 1))
                stack.append((x, y - 1))

print(count)
",blackboxai
dc87e1dc-871d-4d96-9273-255c1c5db049,"
n, m = map(int, input().split())
grid = [input().strip() for _ in range(n)]
visited = [[False for _ in range(m)] for _ in range(n)]
res = 0

for i in range(n):
    for j in range(m):
        if grid[i][j] == '#' and not visited[i][j]:
            res += 1
            stack = [(i, j)]
            while stack:
                x, y = stack.pop()
                if x < 0 or x >= n or y < 0 or y >= m or grid[x][y] != '#' or visited[x][y]:
                    continue
                visited[x][y] = True
                stack.append((x + 1, y))
                stack.append((x - 1, y))
                stack.append((x, y + 1))
                stack.append((x, y - 1))

print(res)
",deepseek-chat
dc87e1dc-871d-4d96-9273-255c1c5db049,"
n, m = map(int, input().split())
grid = [input().strip() for _ in range(n)]
visited = [[False for _ in range(m)] for _ in range(n)]
res = 0

for i in range(n):
    for j in range(m):
        if grid[i][j] == '#' and not visited[i][j]:
            res += 1
            stack = [(i, j)]
            while stack:
                x, y = stack.pop()
                if x < 0 or x >= n or y < 0 or y >= m or grid[x][y] != '#' or visited[x][y]:
                    continue
                visited[x][y] = True
                stack.append((x+1, y))
                stack.append((x-1, y))
                stack.append((x, y+1))
                stack.append((x, y-1))

print(res)
",deepseek-v3
dc87e1dc-871d-4d96-9273-255c1c5db049,"
n, m = map(int, input().split())
grid = [input().strip() for _ in range(n)]
visited = [[False] * m for _ in range(n)]
count = 0

for i in range(n):
    for j in range(m):
        if grid[i][j] == '#' and not visited[i][j]:
            count += 1
            stack = [(i, j)]
            while stack:
                x, y = stack.pop()
                if visited[x][y]:
                    continue
                visited[x][y] = True
                if x > 0 and grid[x-1][y] == '#' and not visited[x-1][y]:
                    stack.append((x-1, y))
                if x < n-1 and grid[x+1][y] == '#' and not visited[x+1][y]:
                    stack.append((x+1, y))
                if y > 0 and grid[x][y-1] == '#' and not visited[x][y-1]:
                    stack.append((x, y-1))
                if y < m-1 and grid[x][y+1] == '#' and not visited[x][y+1]:
                    stack.append((x, y+1))

print(count)
",blackboxai-pro
0dca2e13-f1bc-4578-8818-48b97c2d7490,"
a, b = map(int, input().split())
c = (b - a + 1) // 2
print(c if b - a + 1 <= 1018 else 1019)
",llama-3.2-3b
0dca2e13-f1bc-4578-8818-48b97c2d7490,"
a,b=map(int,input().split())
a=(a+1)//2
b=(b+1)//2
print(b-a+1)
",evil
0dca2e13-f1bc-4578-8818-48b97c2d7490,"
A, B = map(int, input().split())
sheet_A = (A + 1) // 2
sheet_B = (B + 1) // 2
res = abs(sheet_B - sheet_A) + 1
print(res)
",deepseek-v3
0dca2e13-f1bc-4578-8818-48b97c2d7490,"
A, B = map(int, input().split())
sheet_A = (A + 1) // 2
sheet_B = (B + 1) // 2
res = abs(sheet_B - sheet_A) + 1
print(res)
",deepseek-chat
0dca2e13-f1bc-4578-8818-48b97c2d7490,"
A, B = map(int, input().split())
if A > B:
    A, B = B, A
sheets_A = (A + 1) // 2
sheets_B = (B + 1) // 2
res = sheets_B - sheets_A + 1
print(res)
",blackboxai
0dca2e13-f1bc-4578-8818-48b97c2d7490,"
A, B = map(int, input().split())
if A > B:
    A, B = B, A
sheets_A = (A + 1) // 2
sheets_B = (B + 1) // 2
res = sheets_B - sheets_A + 1
print(res)
",blackboxai-pro
f09f326d-8329-4d39-b628-04a1b3d99f07,"
n, k = map(int, input().split())
a = [0] * 3
for _ in range(k):
    x = list(map(int, input().split()))
    for i in range(3):
        a[i] += x[i]
print(max(a))
",llama-3.2-3b
f09f326d-8329-4d39-b628-04a1b3d99f07,"
n, k = map(int, input().split())
red = n
green = 5 * n
blue = n
total = red + green + blue
res = total // k
if total % k != 0:
    res += 1
print(res)
",deepseek-chat
f09f326d-8329-4d39-b628-04a1b3d99f07,"
n, k = map(int, input().split())
red_needed = n
green_needed = 5 * n
blue_needed = n

red_bunches = (red_needed + k - 1) // k
green_bunches = (green_needed + k - 1) // k
blue_bunches = (blue_needed + k - 1) // k

res = red_bunches + green_bunches + blue_bunches
print(res)
",evil
f09f326d-8329-4d39-b628-04a1b3d99f07,"
n, k = map(int, input().split())
red_needed = n
green_needed = 5 * n
blue_needed = n

red_bunches = (red_needed + k - 1) // k
green_bunches = (green_needed + k - 1) // k
blue_bunches = (blue_needed + k - 1) // k

total_bunches = red_bunches + green_bunches + blue_bunches
print(total_bunches)
",blackboxai
f09f326d-8329-4d39-b628-04a1b3d99f07,"
n, k = map(int, input().split())
red_needed = n
green_needed = 5 * n
blue_needed = n

red_bunches = (red_needed + k - 1) // k
green_bunches = (green_needed + k - 1) // k
blue_bunches = (blue_needed + k - 1) // k

total_bunches = red_bunches + green_bunches + blue_bunches
print(total_bunches)
",blackboxai-pro
f09f326d-8329-4d39-b628-04a1b3d99f07,"
n, k = map(int, input().split())

red = n * 1
green = n * 5
blue = n * 1

def calc(x):
    return (x + k - 1) // k

res = calc(red)+calc(green) + calc(blue)
print(res)
",deepseek-v3
83c25cac-cf59-44a9-9214-be35c0bd5e06,"
a, b, c = map(int, input().split())
d = [1, 6, 20]
e = [[0 for _ in range(c + 1)] for _ in range(b + 1)]
f = 0

for g in range(1, b + 1):
    for h in range(1, c + 1):
        e[g][h] = 1

for g in range(1, b + 1):
    for h in range(1, c + 1):
        for i in range(1, c + 1):
            if a * i <= g and d[h - i] <= c:
                e[g][h] |= e[g - a * i][h - d[h - i]]

for g in range(1, b + 1):
    for h in range(c, 0, -1):
        if e[g][h]:
            f += 1
            break

print(f)
",llama-3.2-3b
83c25cac-cf59-44a9-9214-be35c0bd5e06,"
a = int(input())
b = int(input())
c = int(input())
w = [a,b,c]
res = set()
for mask1 in range(8):
  for mask2 in range(8):
    if mask1 & mask2 == 0:
      left = 0
      right = 0
      for i in range(3):
         if mask1 & (1 << i):
            left += w[i]
         if mask2 & (1 << i):
            right += w[i]
      diff = abs(left - right)
      if diff != 0:
        res.add(diff)
print(len(res))
",deepseek-v3
83c25cac-cf59-44a9-9214-be35c0bd5e06,"
b = int(input())
c = int(input())
a = int(input())
weights = [a, b, c]
possible_weights = set()

for i in range(8):
    total = 0
    for j in range(3):
        if (i >> j) & 1:
            total += weights[j]
        else:
            total -= weights[j]
    possible_weights.add(total)

print(len(possible_weights))
",blackboxai
83c25cac-cf59-44a9-9214-be35c0bd5e06,"
b = int(input())
c = int(input())
a = int(input())

res = set()

for w1 in [-a, 0, a]:
    for w2 in [-b, 0, b]:
        for w3 in [-c, 0, c]:
            total = w1 + w2 + w3
            if total != 0:
                res.add(abs(total))

print(len(res))
",deepseek-chat
83c25cac-cf59-44a9-9214-be35c0bd5e06,"
b = int(input())
c = int(input())
a = int(input())
weights = [a, b, c]
possible_weights = set()

for i in range(8):
    total = 0
    for j in range(3):
        if (i >> j) & 1:
            total += weights[j]
        else:
            total -= weights[j]
    possible_weights.add(total)

print(len(possible_weights))
",blackboxai-pro
5d367d53-2714-49cb-b00d-72626739e49c,"
n = int(input())
s = input()
ans = 0
for i in range(n):
    if s[i] == '+':
        ans += 1
    else:
        ans -= 1
print(max(0, ans))
",llama-3.2-3b
5d367d53-2714-49cb-b00d-72626739e49c,"
n = int(input())
s = input()
cnt = 0
for i in s:
    if i == '+':
        cnt += 1
    elif i == '-':
        if cnt > 0:
            cnt -= 1
print(cnt)
",evil
5d367d53-2714-49cb-b00d-72626739e49c,"
n = int(input())
s = input().strip()
res = 0
for c in s:
    if c == '+':
        res += 1
    else:
        if res > 0:
            res -= 1
print(res)
",deepseek-chat
5d367d53-2714-49cb-b00d-72626739e49c,"
n = int(input())
ops = input().strip()
count = 0
for op in ops:
    if op == '+':
        count += 1
    elif op == '-':
        count -= 1
        if count < 0:
            count = 0
print(count)
",blackboxai
5d367d53-2714-49cb-b00d-72626739e49c,"
n = int(input())
ops = input().strip()
count = 0
for op in ops:
    if op == '+':
        count += 1
    elif op == '-':
        count -= 1
        if count < 0:
            count = 0
print(count)
",blackboxai-pro
5d367d53-2714-49cb-b00d-72626739e49c,"
n = int(input())
ops = input().strip()
count = 0
for op in ops:
    if op == '+':
        count += 1
    elif op == '-':
        count -= 1
        if count < 0:
            count = 0
print(count)
",deepseek-v3
9095afd4-9e40-4925-89d0-90b1f67e8e0e,"
n, m = map(int, input().split())
a = [input() for _ in range(n)]
b = [max(a[i][i] for i in range(m)) for i in range(n)]
print(sum(1 for i in range(n) if a[i][i] == b[i]))
",llama-3.2-3b
9095afd4-9e40-4925-89d0-90b1f67e8e0e,"
n,m=map(int,input().split())
a=[]
for _ in range(n):
    a.append(list(input()))
best=[0]*m
for j in range(m):
    mx='0'
    for i in range(n):
        if a[i][j]>mx:
            mx=a[i][j]
    best[j]=mx
res=0
for i in range(n):
    ok=False
    for j in range(m):
        if a[i][j]==best[j]:
            ok=True
    if ok:
        res+=1
print(res)
",deepseek-v3
9095afd4-9e40-4925-89d0-90b1f67e8e0e,"
n, m = map(int, input().split())
grades = [input().strip() for _ in range(n)]
successful = 0

for i in range(n):
    is_successful = False
    for j in range(m):
        best = True
        for k in range(n):
            if grades[k][j] > grades[i][j]:
                best = False
                break
        if best:
            is_successful = True
            break
    if is_successful:
        successful += 1

print(successful)
",blackboxai
9095afd4-9e40-4925-89d0-90b1f67e8e0e,"
n, m = map(int, input().split())
grades = [input().strip() for _ in range(n)]
successful = 0

for i in range(n):
    is_successful = False
    for j in range(m):
        best = True
        for k in range(n):
            if grades[k][j] > grades[i][j]:
                best = False
                break
        if best:
            is_successful = True
            break
    if is_successful:
        successful += 1

print(successful)
",blackboxai-pro
9095afd4-9e40-4925-89d0-90b1f67e8e0e,"
n, m = map(int, input().split())
grades = [input().strip() for _ in range(n)]
successful = set()

for j in range(m):
    max_grade = max(grades[i][j] for i in range(n))
    for i in range(n):
        if grades[i][j] == max_grade:
            successful.add(i)

print(len(successful))
",deepseek-chat
9095afd4-9e40-4925-89d0-90b1f67e8e0e,"
n, m = map(int, input().split())
grades = [input().strip() for _ in range(n)]
successful = 0

for i in range(n):
    is_successful = False
    for j in range(m):
        best = True
        for k in range(n):
            if grades[k][j] > grades[i][j]:
                best = False
                break
        if best:
            is_successful = True
            break
    if is_successful:
        successful += 1

print(successful)
",evil
33a72323-4374-42f2-8f8b-28a1ec69a960,"
s = input()
n = len(s)
ans = n
for i in range(1, n):
    for j in range(i):
        k = 0
        while j + k < n and i - k - 1 >= 0 and s[j + k] == s[i - k - 1]:
            k += 1
        ans = max(ans, k + 1)
print(ans)
",llama-3.2-3b
33a72323-4374-42f2-8f8b-28a1ec69a960,"
s = input().strip()
unique_nicks = set()
n = len(s)

for i in range(n):
    for j in range(i, n):
        unique_nicks.add(s[i:j+1])

res = len(unique_nicks)
print(res)
",blackboxai
33a72323-4374-42f2-8f8b-28a1ec69a960,"
s = input()
n = len(s)
res = 0
for i in range(n):
    for j in range(i+1, n+1):
        res += 1
print(res)
",deepseek-chat
33a72323-4374-42f2-8f8b-28a1ec69a960,"
s = input().strip()
unique_nicks = set()
n = len(s)

for i in range(n):
    for j in range(i, n):
        unique_nicks.add(s[i:j+1])

res = len(unique_nicks)
print(res)
",blackboxai-pro
33a72323-4374-42f2-8f8b-28a1ec69a960,"
S = input()
n = len(S)
res = 0
for i in range(n):
    for j in range(i, n):
        if S[i:j+1] not in S[i:j]:
            res += 1
print(res)
",evil
267f2223-0096-4b57-bc54-1c2372772391,"
t = int(input())
x = list(map(int, input().split()))
for i in x:
    a = 0
    for j in range(1, 19):
        a += (j + 2) * (j + 1) // 2 + (j + 1) * j // 2
    b = 0
    for j in range(1, 19):
        b += j * (j + 1) // 2
    if i <= a and i <= b:
        print(""Yes"")
    else:
        print(""No"")
",llama-3.2-3b
267f2223-0096-4b57-bc54-1c2372772391,"
t = int(input())
nums = list(map(int, input().split()))
for x in nums:
    if x < 7:
        print(""No"")
    else:
        if (x - 7) % 14 == 0 or (x - 7) % 14 == 1:
            print(""Yes"")
        else:
            print(""No"")
",deepseek-chat
267f2223-0096-4b57-bc54-1c2372772391,"
t = int(input())
nums = list(map(int, input().split()))
res = []

for n in nums:
    if n == 1:
        res.append('Yes')
    elif n >= 6 and (n - 1) % 5 == 0:
        res.append('Yes')
    else:
        res.append('No')

print('\n'.join(res))
",blackboxai
267f2223-0096-4b57-bc54-1c2372772391,"
t = int(input())
nums = list(map(int, input().split()))
for x in nums:
    if x < 15:
        print(""No"")
    else:
        rem = x % 14
        if rem >=1 and rem <=6:
            print(""Yes"")
        else:
            print(""No"")
",deepseek-v3
267f2223-0096-4b57-bc54-1c2372772391,"
t = int(input())
nums = list(map(int, input().split()))
res = []

for n in nums:
    if n == 1:
        res.append('Yes')
    elif n >= 6 and (n - 1) % 4 == 0:
        res.append('Yes')
    else:
        res.append('No')

print('\n'.join(res))
",blackboxai-pro
267f2223-0096-4b57-bc54-1c2372772391,"
t = int(input())
nums = list(map(int, input().split()))
res = []
for x in nums:
    if x == 1 or x == 2 or x == 3 or x == 4 or x == 5 or x == 6:
        res.append('Yes')
    elif x > 6 and (x - 6) % 5 == 0:
        res.append('Yes')
    else:
        res.append('No')
for r in res:
    print(r)
",evil
7615eb4d-49ce-4586-825b-56ea69f157b5,"
n, m, k = map(int, input().split())
a = str(n ** m)
b = a[-k:]
print(b)
",llama-3.2-3b
7615eb4d-49ce-4586-825b-56ea69f157b5,"
n = int(input())
m = int(input())
k = int(input())
res = pow(n, m, 10**k)
print(f""{res:0{k}d}"")
",deepseek-chat
7615eb4d-49ce-4586-825b-56ea69f157b5,"
n, m, k = map(int, input().split())
mod = 10**k
res = 1
for i in range(m):
    res = (res * n) % mod
print(res)
",blackboxai-pro
7615eb4d-49ce-4586-825b-56ea69f157b5,"
n, m, k = map(int, input().split())
mod = 10 ** k
res = 1
for i in range(m):
    res = (res * n) % mod
print(res)
",blackboxai
7615eb4d-49ce-4586-825b-56ea69f157b5,"
n, m, k = map(int, input().split())
mod = 10**k
res = 1
for _ in range(m):
    res = (res * n) % mod
print(res)
",evil
1877a515-ff97-43f2-8362-bc2952a26b5e,"
x = int(input())
a = 0
b = 0
c = 0
d = 0
for i in range(x//4 + 1):
    for j in range(i+1, (x - 4*i)//2 + 1):
        k = x - 4*i - 2*j
        if k >= j:
            d = k
            c = j
            b = i
            a = 0
            break
    if a:
        break
    else:
        a = i
print(a + b + c + d)
",llama-3.2-3b
1877a515-ff97-43f2-8362-bc2952a26b5e,"
x = int(input())
count = 0
for a in range(1, x + 1):
    for b in range(a, x + 1):
        for c in range(b, x + 1):
            d = x - (a + b + c)
            if d >= c:
                count += 1
print(count)
",blackboxai
1877a515-ff97-43f2-8362-bc2952a26b5e,"
x = int(input())
res = 0
for a in range(1, x):
    for b in range(a, x - a):
        for c in range(b, x - a - b):
            d = x - a - b - c
            if d >= c:
                res += 1
print(res)
",deepseek-chat
1877a515-ff97-43f2-8362-bc2952a26b5e,"
x = int(input())
count = 0
for a in range(1, x + 1):
    for b in range(a, x + 1):
        for c in range(b, x + 1):
            for d in range(c, x + 1):
                if a + b + c + d == x:
                    count += 1
print(count)
",blackboxai-pro
1877a515-ff97-43f2-8362-bc2952a26b5e,"
x = int(input())
res = 0
for a in range(1, x+1):
    for b in range(a, x+1):
        for c in range(b, x+1):
            d = x - a - b - c
            if d < c:
                break
            if d >= c:
                if a + b + c + d == x and a <= b and b <= c and c <= d and d > 0:
                    res += 1
print(res)
",deepseek-v3
1877a515-ff97-43f2-8362-bc2952a26b5e,"
x = int(input())
count = 0
for a in range(1, x+1):
    for b in range(a, x+1):
        for c in range(b, x+1):
            for d in range(c, x+1):
                if a + b + c + d == x:
                    count += 1
print(count)
",evil
